tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus		length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM	1285073.439
CUFF.6206	-	-	CUFF.6206	-	-	ENSBTAT00000014872	29-1166	ENSBTAT00000014872:29-1166	-	1.076	0.438478	1.66622	OK	0.837306233	
CUFF.13239	-	-	CUFF.13239	-	-	ENSBTAT00000009483	122-1351	ENSBTAT00000009483:122-1351	-	1.0767	0.486786	1.62262	OK	0.837850949	
CUFF.12879	-	-	CUFF.12879	-	-	ENSBTAT00000007530	566-1887	ENSBTAT00000007530:566-1887	-	1.07729	0.452884	1.66057	OK	0.838310066	
CUFF.6948	-	-	CUFF.6948	-	-	ENSBTAT00000014573	926-2061	ENSBTAT00000014573:926-2061	-	1.07832	0.439251	1.66915	OK	0.839111577	
CUFF.10936	-	-	CUFF.10936	-	-	ENSBTAT00000038271	46-1269	ENSBTAT00000038271:46-1269	-	1.08308	0.489174	1.63058	OK	0.842815646	
CUFF.9299	-	-	CUFF.9299	-	-	ENSBTAT00000014104	1580-3076	ENSBTAT00000014104:1580-3076	-	1.08576	0.533208	1.59963	OK	0.844901129	
CUFF.12792	-	-	CUFF.12792	-	-	ENSBTAT00000061306	2537-3660	ENSBTAT00000061306:2537-3660	-	1.0925	0.443945	1.68699	OK	0.850145966	
CUFF.166	-	-	CUFF.166	-	-	ENSBTAT00000061451	5760-7972	ENSBTAT00000061451:5760-7972	-	1.09589	0.676153	1.53261	OK	0.852783947	
CUFF.11885	-	-	CUFF.11885	-	-	ENSBTAT00000055584	1658-3321	ENSBTAT00000055584:1658-3321	-	1.09822	0.599579	1.55891	OK	0.854597073	
CUFF.789	-	-	CUFF.789	-	-	ENSBTAT00000048534	1280-2396	ENSBTAT00000048534:1280-2396	-	1.10095	0.446729	1.69757	OK	0.856721466	
CUFF.13304	-	-	CUFF.13304	-	-	ENSBTAT00000061038	3289-4586	ENSBTAT00000061038:3289-4586	-	1.10108	0.461264	1.6913	OK	0.856822627	
CUFF.11626	-	-	CUFF.11626	-	-	ENSBTAT00000013658	31-1509	ENSBTAT00000013658:31-1509	-	1.10118	0.539702	1.61911	OK	0.856900444	
CUFF.11468	-	-	CUFF.11468	-	-	ENSBTAT00000019434	2198-3672	ENSBTAT00000019434:2198-3672	-	1.10467	0.541167	1.6235	OK	0.859616242	
CUFF.8291	-	-	CUFF.8291	-	-	ENSBTAT00000012291	119-1322	ENSBTAT00000012291:119-1322	-	1.1049	0.497307	1.65769	OK	0.85979522	
CUFF.3561	-	-	CUFF.3561	-	-	ENSBTAT00000061505	3502-5241	ENSBTAT00000061505:3502-5241	-	1.10885	0.630713	1.60545	OK	0.862868974	
CUFF.12493	-	-	CUFF.12493	-	-	ENSBTAT00000013226	2268-3895	ENSBTAT00000013226:2268-3895	-	1.12613	0.612846	1.5934	OK	0.876315677	
CUFF.8960	-	-	CUFF.8960	-	-	ENSBTAT00000027644	1915-3712	ENSBTAT00000027644:1915-3712	-	1.13116	0.610356	1.60912	OK	0.88022985	
CUFF.4944	-	-	CUFF.4944	-	-	ENSBTAT00000039096	2458-4332	ENSBTAT00000039096:2458-4332	-	1.13874	0.638484	1.59621	OK	0.886128345	
CUFF.1619	-	-	CUFF.1619	-	-	ENSBTAT00000057275	1159-2502	ENSBTAT00000057275:1159-2502	-	1.1444	0.519709	1.70762	OK	0.890532763	
CUFF.9819	-	-	CUFF.9819	-	-	ENSBTAT00000011376	448-1528	ENSBTAT00000011376:448-1528	-	1.14652	0.46162	1.75416	OK	0.892182474	
CUFF.9088	-	-	CUFF.9088	-	-	ENSBTAT00000021795	815-2153	ENSBTAT00000021795:815-2153	-	1.14947	0.521652	1.714	OK	0.894478063	
CUFF.5145	-	-	CUFF.5145	-	-	ENSBTAT00000034643	178-2367	ENSBTAT00000034643:178-2367	-	1.15902	0.683257	1.59427	OK	0.901909545	
CUFF.10300	-	-	CUFF.10300	-	-	ENSBTAT00000045437	617-2203	ENSBTAT00000045437:617-2203	-	1.15969	0.628688	1.63459	OK	0.902430916	
CUFF.5804	-	-	CUFF.5804	-	-	ENSBTAT00000020103	6261-8529	ENSBTAT00000020103:6261-8529	-	1.16298	0.703421	1.5827	OK	0.90499108	
CUFF.8010	-	-	CUFF.8010	-	-	ENSBTAT00000020811	100-1251	ENSBTAT00000020811:100-1251	-	1.16598	0.519774	1.73258	OK	0.907325577	
CUFF.2122	-	-	CUFF.2122	-	-	ENSBTAT00000024657	87-1409	ENSBTAT00000024657:87-1409	-	1.16601	0.527965	1.73474	OK	0.907348922	
CUFF.2141	-	-	CUFF.2141	-	-	ENSBTAT00000011761	5204-6269	ENSBTAT00000011761:5204-6269	-	1.16664	0.468122	1.77886	OK	0.907839167	
CUFF.4270	-	-	CUFF.4270	-	-	ENSBTAT00000063488	3250-4312	ENSBTAT00000063488:3250-4312	-	1.17075	0.469444	1.78389	OK	0.911037428	
CUFF.12171	-	-	CUFF.12171	-	-	ENSBTAT00000008886	3988-5645	ENSBTAT00000008886:3988-5645	-	1.1717	0.661925	1.6849	OK	0.911776685	
CUFF.11321	-	-	CUFF.11321	-	-	ENSBTAT00000053585	1383-3792	ENSBTAT00000053585:1383-3792	-	1.1791	0.745031	1.61423	OK	0.917535111	
CUFF.2100	-	-	CUFF.2100	-	-	ENSBTAT00000024084	4332-5640	ENSBTAT00000024084:4332-5640	-	1.18089	0.533616	1.75331	OK	0.918928027	
CUFF.8425	-	-	CUFF.8425	-	-	ENSBTAT00000061449	101459-103015	ENSBTAT00000061449:101459-103015	-	1.18554	0.64081	1.73019	OK	0.922546497	
CUFF.2607	-	-	CUFF.2607	-	-	ENSBTAT00000022784	56-1357	ENSBTAT00000022784:56-1357	-	1.18846	0.536487	1.83938	OK	0.924818741	
CUFF.5955	-	-	CUFF.5955	-	-	ENSBTAT00000009228	10300-11931	ENSBTAT00000009228:10300-11931	-	1.19314	0.672477	1.71176	OK	0.928460556	
CUFF.1131	-	-	CUFF.1131	-	-	ENSBTAT00000008812	1102-4312	ENSBTAT00000008812:1102-4312	-	1.19665	0.80762	1.58418	OK	0.931191918	
CUFF.5045	-	-	CUFF.5045	-	-	ENSBTAT00000013647	779-1821	ENSBTAT00000013647:779-1821	-	1.1989	0.478455	1.91382	OK	0.93294279	
CUFF.6437	-	-	CUFF.6437	-	-	ENSBTAT00000001709	40-1244	ENSBTAT00000001709:40-1244	-	1.20413	0.496894	1.90476	OK	0.937012597	
CUFF.107	-	-	CUFF.107	-	-	ENSBTAT00000007406	269-1306	ENSBTAT00000007406:269-1306	-	1.20616	0.480762	1.92305	OK	0.938592273	
CUFF.10416	-	-	CUFF.10416	-	-	ENSBTAT00000000862	469-1506	ENSBTAT00000000862:469-1506	-	1.20616	0.480762	1.92305	OK	0.938592273	
CUFF.1082	-	-	CUFF.1082	-	-	ENSBTAT00000015717	103-1469	ENSBTAT00000015717:103-1469	-	1.2079	0.583953	1.82485	OK	0.939946281	
CUFF.13391	-	-	CUFF.13391	-	-	ENSBTAT00000021761	685-2050	ENSBTAT00000021761:685-2050	-	1.20894	0.584381	1.82619	OK	0.940755573	
CUFF.11050	-	-	CUFF.11050	-	-	ENSBTAT00000028785	894-2420	ENSBTAT00000028785:894-2420	-	1.21258	0.653407	1.7642	OK	0.943588096	
CUFF.13647	-	-	CUFF.13647	-	-	ENSBTAT00000061260	23-1216	ENSBTAT00000061260:23-1216	-	1.21761	0.501475	1.92232	OK	0.94750227	
CUFF.9605	-	-	CUFF.9605	-	-	ENSBTAT00000047153	667-3658	ENSBTAT00000047153:667-3658	-	1.21918	0.80008	1.6335	OK	0.94872399	
CUFF.11585	-	-	CUFF.11585	-	-	ENSBTAT00000028598	1871-3062	ENSBTAT00000028598:1871-3062	-	1.2201	0.502317	1.92555	OK	0.949439902	
CUFF.1251	-	-	CUFF.1251	-	-	ENSBTAT00000020545	987-2014	ENSBTAT00000020545:987-2014	-	1.22092	0.485443	1.94177	OK	0.950077998	
CUFF.6267	-	-	CUFF.6267	-	-	ENSBTAT00000030539	229-1985	ENSBTAT00000030539:229-1985	-	1.22567	0.681389	1.76026	OK	0.953774285	
CUFF.1666	-	-	CUFF.1666	-	-	ENSBTAT00000024717	428-1694	ENSBTAT00000024717:428-1694	-	1.22787	0.551319	1.89024	OK	0.955486249	
CUFF.8804	-	-	CUFF.8804	-	-	ENSBTAT00000019018	1864-4098	ENSBTAT00000019018:1864-4098	-	1.23179	0.75876	1.69605	OK	0.958536658	
CUFF.4589	-	-	CUFF.4589	-	-	ENSBTAT00000033639	0-2556	ENSBTAT00000033639:0-2556	-	1.23273	0.780203	1.67744	OK	0.959268134	
CUFF.5116	-	-	CUFF.5116	-	-	ENSBTAT00000008644	2-1587	ENSBTAT00000008644:2-1587	-	1.23307	0.691993	1.76144	OK	0.95953271	
CUFF.2139	-	-	CUFF.2139	-	-	ENSBTAT00000011761	2145-4050	ENSBTAT00000011761:2145-4050	-	1.23558	0.732777	1.72726	OK	0.961485906	
CUFF.6191	-	-	CUFF.6191	-	-	ENSBTAT00000008354	1-1018	ENSBTAT00000008354:1-1018	-	1.23606	0.490216	1.96086	OK	0.961859426	
CUFF.1541	-	-	CUFF.1541	-	-	ENSBTAT00000061071	1270-3248	ENSBTAT00000061071:1270-3248	-	1.24096	0.756142	1.71392	OK	0.965672437	
CUFF.1677	-	-	CUFF.1677	-	-	ENSBTAT00000024603	125-1540	ENSBTAT00000024603:125-1540	-	1.24154	0.634198	1.83213	OK	0.966123773	
CUFF.12223	-	-	CUFF.12223	-	-	ENSBTAT00000048409	114-1365	ENSBTAT00000048409:114-1365	-	1.24556	0.557929	1.9129	OK	0.969251999	
CUFF.3690	-	-	CUFF.3690	-	-	ENSBTAT00000061570	50-1217	ENSBTAT00000061570:50-1217	-	1.25071	0.512648	1.96515	OK	0.973259552	
CUFF.7891	-	-	CUFF.7891	-	-	ENSBTAT00000019061	441-1528	ENSBTAT00000019061:441-1528	-	1.2511	0.550377	1.92632	OK	0.973563037	
CUFF.5526	-	-	CUFF.5526	-	-	ENSBTAT00000010136	905-2307	ENSBTAT00000010136:905-2307	-	1.25508	0.640078	1.84911	OK	0.976660136	
CUFF.6124	-	-	CUFF.6124	-	-	ENSBTAT00000060961	3378-4462	ENSBTAT00000060961:3378-4462	-	1.2554	0.5519	1.93165	OK	0.976909149	
CUFF.1326	-	-	CUFF.1326	-	-	ENSBTAT00000001311	5966-7129	ENSBTAT00000001311:5966-7129	-	1.25596	0.514411	1.97191	OK	0.977344922	
CUFF.13250	-	-	CUFF.13250	-	-	ENSBTAT00000019032	516-1672	ENSBTAT00000019032:516-1672	-	1.26525	0.517526	1.98385	OK	0.984574081	
CUFF.5084	-	-	CUFF.5084	-	-	ENSBTAT00000039897	177-2042	ENSBTAT00000039897:177-2042	-	1.26545	0.748493	1.7643	OK	0.984729714	
CUFF.6813	-	-	CUFF.6813	-	-	ENSBTAT00000008180	7-1084	ENSBTAT00000008180:7-1084	-	1.26554	0.555487	1.94421	OK	0.984799749	
CUFF.7317	-	-	CUFF.7317	-	-	ENSBTAT00000010340	9017-10094	ENSBTAT00000010340:9017-10094	-	1.26554	0.555487	1.94421	OK	0.984799749	
CUFF.2855	-	-	CUFF.2855	-	-	ENSBTAT00000034836	944-1941	ENSBTAT00000034836:944-1941	-	1.26748	0.50005	2.0002	OK	0.98630939	
CUFF.11307	-	-	CUFF.11307	-	-	ENSBTAT00000011399	161-1312	ENSBTAT00000011399:161-1312	-	1.27198	0.519774	1.99247	OK	0.989811136	
CUFF.5805	-	-	CUFF.5805	-	-	ENSBTAT00000023982	4729-5723	ENSBTAT00000023982:4729-5723	-	1.27234	0.501559	2.00624	OK	0.990091275	
CUFF.11173	-	-	CUFF.11173	-	-	ENSBTAT00000023023	1143-2682	ENSBTAT00000023023:1143-2682	-	1.27576	0.712677	1.81409	OK	0.992752602	
CUFF.2427	-	-	CUFF.2427	-	-	ENSBTAT00000023573	225-1920	ENSBTAT00000023573:225-1920	-	1.27603	0.705911	1.8236	OK	0.992962707	
CUFF.11293	-	-	CUFF.11293	-	-	ENSBTAT00000009427	5-Aug	ENSBTAT00000009427:8-2405	-	1.27677	0.790358	1.74711	OK	0.993538549	
CUFF.11584	-	-	CUFF.11584	-	-	ENSBTAT00000065280	1014-2548	ENSBTAT00000065280:1014-2548	-	1.28058	0.715	1.82	OK	0.99650336	
CUFF.7390	-	-	CUFF.7390	-	-	ENSBTAT00000027870	31-1175	ENSBTAT00000027870:31-1175	-	1.28151	0.522954	2.00466	OK	0.997227054	
CUFF.6735	-	-	CUFF.6735	-	-	ENSBTAT00000050192	93-1467	ENSBTAT00000050192:93-1467	-	1.28528	0.653122	1.8868	OK	1.000160739	
CUFF.9398	-	-	CUFF.9398	-	-	ENSBTAT00000055913	78-1064	ENSBTAT00000055913:78-1064	-	1.28546	0.505629	2.02251	OK	1.000300809	
CUFF.3008	-	-	CUFF.3008	-	-	ENSBTAT00000006566	3760-5519	ENSBTAT00000006566:3760-5519	-	1.28768	0.736913	1.81394	OK	1.002028336	
CUFF.11081	-	-	CUFF.11081	-	-	ENSBTAT00000047858	1114-2253	ENSBTAT00000047858:1114-2253	-	1.28841	0.52525	2.01346	OK	1.002596397	
CUFF.13100	-	-	CUFF.13100	-	-	ENSBTAT00000020855	40-1023	ENSBTAT00000020855:40-1023	-	1.29045	0.507172	2.02869	OK	1.004183855	
CUFF.3793	-	-	CUFF.3793	-	-	ENSBTAT00000001367	2-984	ENSBTAT00000001367:2-984	-	1.29212	0.507688	2.03075	OK	1.005483392	
CUFF.9390	-	-	CUFF.9390	-	-	ENSBTAT00000064559	501-1712	ENSBTAT00000064559:501-1712	-	1.29535	0.576358	1.97609	OK	1.007996867	
CUFF.6407	-	-	CUFF.6407	-	-	ENSBTAT00000004474	1825-3342	ENSBTAT00000004474:1825-3342	-	1.29724	0.723012	1.84039	OK	1.0094676	
CUFF.10234	-	-	CUFF.10234	-	-	ENSBTAT00000010610	147-1125	ENSBTAT00000010610:147-1125	-	1.29885	0.509765	2.03906	OK	1.010720447	
CUFF.10377	-	-	CUFF.10377	-	-	ENSBTAT00000025356	2244-3988	ENSBTAT00000025356:2244-3988	-	1.30027	0.743251	1.82954	OK	1.011825442	
CUFF.112	-	-	CUFF.112	-	-	ENSBTAT00000006705	74-1050	ENSBTAT00000006705:74-1050	-	1.30225	0.510809	2.04324	OK	1.01336621	
CUFF.2282	-	-	CUFF.2282	-	-	ENSBTAT00000046733	3654-4629	ENSBTAT00000046733:3654-4629	-	1.30395	0.511333	2.04533	OK	1.014689091	
CUFF.3673	-	-	CUFF.3673	-	-	ENSBTAT00000054897	78-1282	ENSBTAT00000054897:78-1282	-	1.30448	0.579709	1.98757	OK	1.015101519	
CUFF.9873	-	-	CUFF.9873	-	-	ENSBTAT00000052445	22-1756	ENSBTAT00000052445:22-1756	-	1.30881	0.747537	1.84009	OK	1.018470976	
CUFF.734	-	-	CUFF.734	-	-	ENSBTAT00000013674	1078-3951	ENSBTAT00000013674:1078-3951	-	1.31065	0.867647	1.73529	OK	1.019902801	
CUFF.71	-	-	CUFF.71	-	-	ENSBTAT00000022355	3818-4788	ENSBTAT00000022355:3818-4788	-	1.31253	0.513969	2.05588	OK	1.021365753	
CUFF.4675	-	-	CUFF.4675	-	-	ENSBTAT00000065143	300-1269	ENSBTAT00000065143:300-1269	-	1.31426	0.514499	2.058	OK	1.022711979	
CUFF.1959	-	-	CUFF.1959	-	-	ENSBTAT00000024464	2410-3833	ENSBTAT00000024464:2410-3833	-	1.31557	0.700702	1.8919	OK	1.023731376	
CUFF.965	-	-	CUFF.965	-	-	ENSBTAT00000018845	1355-2323	ENSBTAT00000018845:1355-2323	-	1.316	0.515031	2.06012	OK	1.024065987	
CUFF.9878	-	-	CUFF.9878	-	-	ENSBTAT00000050484	742-2013	ENSBTAT00000050484:742-2013	-	1.31608	0.6276	1.96125	OK	1.024128241	
CUFF.12413	-	-	CUFF.12413	-	-	ENSBTAT00000045797	757-1949	ENSBTAT00000045797:757-1949	-	1.32042	0.585545	2.00758	OK	1.027505479	
CUFF.640	-	-	CUFF.640	-	-	ENSBTAT00000013024	2-1798	ENSBTAT00000013024:2-1798	-	1.32052	0.777249	1.83209	OK	1.027583296	
CUFF.3983	-	-	CUFF.3983	-	-	ENSBTAT00000010549	5924-6889	ENSBTAT00000010549:5924-6889	-	1.32123	0.516632	2.06653	OK	1.028135794	
CUFF.11295	-	-	CUFF.11295	-	-	ENSBTAT00000018405	124-1089	ENSBTAT00000018405:124-1089	-	1.32123	0.516632	2.06653	OK	1.028135794	
CUFF.13721	-	-	CUFF.13721	-	-	ENSBTAT00000044683	1238-2429	ENSBTAT00000044683:1238-2429	-	1.32177	0.586037	2.00927	OK	1.028556003	
CUFF.2266	-	-	CUFF.2266	-	-	ENSBTAT00000004768	2323-4041	ENSBTAT00000004768:2323-4041	-	1.3227	0.754499	1.85723	OK	1.029279697	
CUFF.8916	-	-	CUFF.8916	-	-	ENSBTAT00000017057	3623-4662	ENSBTAT00000017057:3623-4662	-	1.32357	0.575803	2.01531	OK	1.029956701	
CUFF.6756	-	-	CUFF.6756	-	-	ENSBTAT00000025249	5762-6875	ENSBTAT00000025249:5762-6875	-	1.32552	0.53752	2.06049	OK	1.031474124	
CUFF.6754	-	-	CUFF.6754	-	-	ENSBTAT00000025249	3001-4339	ENSBTAT00000025249:3001-4339	-	1.32631	0.670695	1.93756	OK	1.032088875	
CUFF.10823	-	-	CUFF.10823	-	-	ENSBTAT00000024318	394-2708	ENSBTAT00000024318:394-2708	-	1.32714	0.818708	1.80977	OK	1.032734753	
CUFF.3835	-	-	CUFF.3835	-	-	ENSBTAT00000061181	93-1580	ENSBTAT00000061181:93-1580	-	1.32772	0.737599	1.87752	OK	1.033186089	
CUFF.10951	-	-	CUFF.10951	-	-	ENSBTAT00000056581	1204-2165	ENSBTAT00000056581:1204-2165	-	1.32827	0.518782	2.07513	OK	1.03361408	
CUFF.12170	-	-	CUFF.12170	-	-	ENSBTAT00000008886	2283-3694	ENSBTAT00000008886:2283-3694	-	1.32872	0.706662	1.90799	OK	1.033964254	
CUFF.8424	-	-	CUFF.8424	-	-	ENSBTAT00000061449	99957-101367	ENSBTAT00000061449:99957-101367	-	1.32983	0.707163	1.90934	OK	1.034828018	
CUFF.10826	-	-	CUFF.10826	-	-	ENSBTAT00000061443	2830-3865	ENSBTAT00000061443:2830-3865	-	1.32999	0.578029	2.0231	OK	1.034952525	
CUFF.11662	-	-	CUFF.11662	-	-	ENSBTAT00000022822	4124-5308	ENSBTAT00000022822:4124-5308	-	1.33127	0.589501	2.02115	OK	1.035948577	
CUFF.11281	-	-	CUFF.11281	-	-	ENSBTAT00000060991	1373-3002	ENSBTAT00000060991:1373-3002	-	1.33539	0.734512	1.89749	OK	1.039154619	
CUFF.3667	-	-	CUFF.3667	-	-	ENSBTAT00000009437	111-1064	ENSBTAT00000009437:111-1064	-	1.34258	0.523137	2.09255	OK	1.04474963	
CUFF.10236	-	-	CUFF.10236	-	-	ENSBTAT00000010610	4983-6381	ENSBTAT00000010610:4983-6381	-	1.34326	0.713233	1.92573	OK	1.045278783	
CUFF.11915	-	-	CUFF.11915	-	-	ENSBTAT00000061584	2666-3766	ENSBTAT00000061584:2666-3766	-	1.34489	0.543873	2.08484	OK	1.046547193	
CUFF.13361	-	-	CUFF.13361	-	-	ENSBTAT00000021144	231-1477	ENSBTAT00000021144:231-1477	-	1.34785	0.640192	2.0006	OK	1.048850563	
CUFF.12399	-	-	CUFF.12399	-	-	ENSBTAT00000013592	9065-10235	ENSBTAT00000013592:9065-10235	-	1.35069	0.596555	2.04533	OK	1.051060553	
CUFF.1814	-	-	CUFF.1814	-	-	ENSBTAT00000009882	5180-6865	ENSBTAT00000009882:5180-6865	-	1.3523	0.769276	1.8936	OK	1.0523134	
CUFF.7490	-	-	CUFF.7490	-	-	ENSBTAT00000029161	1125-3766	ENSBTAT00000029161:1125-3766	-	1.35371	0.906111	1.81222	OK	1.053410614	
CUFF.4853	-	-	CUFF.4853	-	-	ENSBTAT00000013256	996-2311	ENSBTAT00000013256:996-2311	-	1.35393	0.682426	1.97145	OK	1.05358181	
CUFF.13581	-	-	CUFF.13581	-	-	ENSBTAT00000015505	2572-3812	ENSBTAT00000015505:2572-3812	-	1.35571	0.64329	2.01028	OK	1.054966945	
CUFF.6496	-	-	CUFF.6496	-	-	ENSBTAT00000040243	2492-3804	ENSBTAT00000040243:2492-3804	-	1.35761	0.683986	1.97596	OK	1.05644546	
CUFF.4378	-	-	CUFF.4378	-	-	ENSBTAT00000000181	792-1957	ENSBTAT00000000181:792-1957	-	1.35777	0.599116	2.05411	OK	1.056569966	
CUFF.3360	-	-	CUFF.3360	-	-	ENSBTAT00000045807	183-1201	ENSBTAT00000045807:183-1201	-	1.35798	0.587682	2.05689	OK	1.056733381	
CUFF.4984	-	-	CUFF.4984	-	-	ENSBTAT00000045385	768-2589	ENSBTAT00000045385:768-2589	-	1.36192	0.821334	1.86169	OK	1.059799354	
CUFF.1589	-	-	CUFF.1589	-	-	ENSBTAT00000065447	1781-2796	ENSBTAT00000065447:1781-2796	-	1.36304	0.589419	2.06296	OK	1.060670899	
CUFF.3101	-	-	CUFF.3101	-	-	ENSBTAT00000063707	3182-5365	ENSBTAT00000063707:3182-5365	-	1.36473	0.867838	1.82703	OK	1.061985999	
CUFF.3097	-	-	CUFF.3097	-	-	ENSBTAT00000019193	3285-5465	ENSBTAT00000019193:3285-5465	-	1.36681	0.869032	1.82954	OK	1.063604584	
CUFF.6022	-	-	CUFF.6022	-	-	ENSBTAT00000020006	275-1579	ENSBTAT00000020006:275-1579	-	1.36754	0.688182	1.98808	OK	1.064172645	
CUFF.11648	-	-	CUFF.11648	-	-	ENSBTAT00000025704	22-1106	ENSBTAT00000025704:22-1106	-	1.36952	0.5519	2.11562	OK	1.065713413	
CUFF.8554	-	-	CUFF.8554	-	-	ENSBTAT00000060975	2098-3471	ENSBTAT00000060975:2098-3471	-	1.37214	0.72622	1.96079	OK	1.067752207	
CUFF.1216	-	-	CUFF.1216	-	-	ENSBTAT00000020838	903-2566	ENSBTAT00000020838:903-2566	-	1.37278	0.779453	1.91865	OK	1.068250233	
CUFF.1507	-	-	CUFF.1507	-	-	ENSBTAT00000026257	243-1246	ENSBTAT00000026257:243-1246	-	1.38368	0.59647	2.08765	OK	1.076732238	
CUFF.4601	-	-	CUFF.4601	-	-	ENSBTAT00000025245	1085-2808	ENSBTAT00000025245:1085-2808	-	1.38424	0.81018	1.90971	OK	1.077168011	
CUFF.1469	-	-	CUFF.1469	-	-	ENSBTAT00000011034	529-1602	ENSBTAT00000011034:529-1602	-	1.38699	0.557558	2.13731	OK	1.079307966	
