tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	TPM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.67	-	-	CUFF.67	-	-	ENSMUST00000126532	3194-3895	-	119.548	16.47832613	50.9325	169.775	OK
CUFF.337	-	-	CUFF.337	-	-	ENSMUST00000090227	1172-1706	-	119.939	16.53222102	37.1449	178.295	OK
CUFF.1232	-	-	CUFF.1232	-	-	ENSMUST00000040514	810-1641	-	120.069	16.55014003	57.2863	176.633	OK
CUFF.202	-	-	CUFF.202	-	-	ENSMUST00000019076	16-977	-	120.411	16.59728082	61.921	173.379	OK
CUFF.2601	-	-	CUFF.2601	-	-	ENSMUST00000029644	394-953	-	122.662	16.90755546	42.5804	163.225	OK
CUFF.1189	-	-	CUFF.1189	-	-	ENSMUST00000166938	313-1066	-	122.673	16.90907168	57.9519	179.124	OK
CUFF.2809	-	-	CUFF.2809	-	-	ENSMUST00000156390	742-1527	-	122.744	16.91885822	55.5896	176.876	OK
CUFF.1485	-	-	CUFF.1485	-	-	ENSMUST00000034441	1742-2425	-	124.034	17.09666999	52.2748	174.249	OK
CUFF.2005	-	-	CUFF.2005	-	-	ENSMUST00000120173	1585-2234	-	124.595	17.17399743	48.9007	177.265	OK
CUFF.2599	-	-	CUFF.2599	-	-	ENSMUST00000034264	182-764	-	125.687	17.32451715	40.8977	184.039	OK
CUFF.2461	-	-	CUFF.2461	-	-	ENSMUST00000036977	124-642	-	126.036	17.37262282	38.2922	183.803	OK
CUFF.756	-	-	CUFF.756	-	-	ENSMUST00000054014	79-1097	-	126.595	17.44967458	70.1447	171.465	OK
CUFF.1233	-	-	CUFF.1233	-	-	ENSMUST00000040514	1846-2425	-	126.69	17.46276925	41.1096	184.993	OK
CUFF.1319	-	-	CUFF.1319	-	-	ENSMUST00000077191	2-643	-	126.872	17.48785587	49.5111	179.478	OK
CUFF.1689	-	-	CUFF.1689	-	-	ENSMUST00000115366	2894-3566	-	126.944	17.49778024	53.1304	177.101	OK
CUFF.193	-	-	CUFF.193	-	-	ENSMUST00000119698	466-1169	-	127.008	17.50660191	56.4306	174.935	OK
CUFF.972	-	-	CUFF.972	-	-	ENSMUST00000010239	976-1553	-	127.368	17.5562238	41.2521	185.634	OK
CUFF.1441	-	-	CUFF.1441	-	-	ENSMUST00000046514	2273-3161	-	127.455	17.56821576	67.0114	178.697	OK
CUFF.481	-	-	CUFF.481	-	-	ENSMUST00000183887	68-612	-	128.061	17.65174593	43.7545	167.726	OK
CUFF.1077	-	-	CUFF.1077	-	-	ENSMUST00000020153	760-1272	-	128.485	17.71018949	38.741	185.957	OK
CUFF.732	-	-	CUFF.732	-	-	ENSMUST00000046259	676-1280	-	128.686	17.73789504	52.544	190.472	OK
CUFF.2696	-	-	CUFF.2696	-	-	ENSMUST00000079247	371-944	-	128.746	17.74616536	41.54	186.93	OK
CUFF.1346	-	-	CUFF.1346	-	-	ENSMUST00000084852	443-985	-	128.817	17.7559519	43.9159	168.344	OK
CUFF.1649	-	-	CUFF.1649	-	-	ENSMUST00000029400	2-604	-	129.331	17.82680093	52.7186	191.105	OK
CUFF.341	-	-	CUFF.341	-	-	ENSMUST00000076454	695-1450	-	129.418	17.83879288	57.7984	183.904	OK
CUFF.2555	-	-	CUFF.2555	-	-	ENSMUST00000179127	495-1034	-	129.968	17.9146041	44.1604	169.281	OK
CUFF.2680	-	-	CUFF.2680	-	-	ENSMUST00000026613	1088-1687	-	130.312	17.96202057	52.9826	192.062	OK
CUFF.1866	-	-	CUFF.1866	-	-	ENSMUST00000043616	707-1245	-	130.356	17.96808547	44.2425	169.596	OK
CUFF.795	-	-	CUFF.795	-	-	ENSMUST00000003642	1219-1726	-	130.6	18.00171808	39.123	187.79	OK
CUFF.2252	-	-	CUFF.2252	-	-	ENSMUST00000023882	432-1483	-	131.026	18.06043731	75.4914	177.405	OK
CUFF.1621	-	-	CUFF.1621	-	-	ENSMUST00000110690	6-633	-	131.063	18.06553734	50.6166	183.485	OK
CUFF.1161	-	-	CUFF.1161	-	-	ENSMUST00000025254	4-872	-	131.289	18.09668886	68.5554	182.814	OK
CUFF.1967	-	-	CUFF.1967	-	-	ENSMUST00000025989	544-1502	-	131.402	18.11226462	70.3969	190.486	OK
CUFF.1250	-	-	CUFF.1250	-	-	ENSMUST00000100527	1161-1695	-	131.933	18.1854569	44.5739	170.866	OK
CUFF.809	-	-	CUFF.809	-	-	ENSMUST00000049572	229-882	-	132.307	18.23700853	54.6764	182.255	OK
CUFF.570	-	-	CUFF.570	-	-	ENSMUST00000077577	1-743	-	132.541	18.26926276	58.8111	187.126	OK
CUFF.457	-	-	CUFF.457	-	-	ENSMUST00000072948	780-1969	-	132.805	18.30565214	80.0755	183.506	OK
CUFF.1091	-	-	CUFF.1091	-	-	ENSMUST00000001583	906-1497	-	133	18.33253066	53.6998	194.662	OK
CUFF.488	-	-	CUFF.488	-	-	ENSMUST00000000642	586-1147	-	133.065	18.34149017	42.4286	190.929	OK
CUFF.242	-	-	CUFF.242	-	-	ENSMUST00000002048	22-850	-	133.345	18.38008497	67.0761	182.064	OK
CUFF.2170	-	-	CUFF.2170	-	-	ENSMUST00000136326	76-635	-	133.813	18.44459343	42.5804	191.612	OK
CUFF.733	-	-	CUFF.733	-	-	ENSMUST00000023509	99-922	-	134.421	18.52839928	67.4836	183.17	OK
CUFF.2086	-	-	CUFF.2086	-	-	ENSMUST00000139638	12-569	-	134.569	18.54879939	42.7333	192.3	OK
CUFF.239	-	-	CUFF.239	-	-	ENSMUST00000059588	816-1431	-	134.883	18.5920807	51.6042	187.065	OK
CUFF.1941	-	-	CUFF.1941	-	-	ENSMUST00000040992	508-1857	-	135.034	18.61289433	85.2818	176.445	OK
CUFF.1549	-	-	CUFF.1549	-	-	ENSMUST00000025955	989-2102	-	135.178	18.63274308	78.4147	185.344	OK
CUFF.83	-	-	CUFF.83	-	-	ENSMUST00000020165	501-1056	-	135.334	18.6542459	42.8873	192.993	OK
CUFF.38	-	-	CUFF.38	-	-	ENSMUST00000034541	1005-1618	-	135.541	18.68277849	51.7726	187.676	OK
CUFF.1032	-	-	CUFF.1032	-	-	ENSMUST00000033184	470-1345	-	135.827	18.72220032	68.007	190.42	OK
CUFF.807	-	-	CUFF.807	-	-	ENSMUST00000120232	309-862	-	136.108	18.76093296	43.0424	193.691	OK
CUFF.936	-	-	CUFF.936	-	-	ENSMUST00000028004	506-1493	-	136.663	18.83743337	76.3672	188.908	OK
CUFF.327	-	-	CUFF.327	-	-	ENSMUST00000031556	69-793	-	137.122	18.90070128	60.2732	191.778	OK
CUFF.1884	-	-	CUFF.1884	-	-	ENSMUST00000171340	3138-3804	-	137.163	18.90635266	59.5657	184.654	OK
CUFF.486	-	-	CUFF.486	-	-	ENSMUST00000020843	4826-6590	-	137.255	18.91903381	94.4541	175.415	OK
CUFF.913	-	-	CUFF.913	-	-	ENSMUST00000165665	1929-3028	-	137.291	18.92399599	79.4137	194.924	OK
CUFF.2162	-	-	CUFF.2162	-	-	ENSMUST00000151702	17-538	-	137.33	18.9293717	45.6861	175.13	OK
CUFF.1515	-	-	CUFF.1515	-	-	ENSMUST00000112707	1205-1754	-	137.683	18.97802872	43.356	195.102	OK
CUFF.99	-	-	CUFF.99	-	-	ENSMUST00000059462	141-632	-	137.862	19.00270182	40.3979	193.91	OK
CUFF.2324	-	-	CUFF.2324	-	-	ENSMUST00000159531	159-707	-	138.082	19.03302631	43.4351	195.458	OK
CUFF.2160	-	-	CUFF.2160	-	-	ENSMUST00000110551	9-729	-	138.183	19.046948	60.6081	192.844	OK
CUFF.1989	-	-	CUFF.1989	-	-	ENSMUST00000049138	8-555	-	138.484	19.08843742	43.5145	195.815	OK
CUFF.1405	-	-	CUFF.1405	-	-	ENSMUST00000073521	10-528	-	138.639	19.1098024	45.9507	176.144	OK
CUFF.2656	-	-	CUFF.2656	-	-	ENSMUST00000027856	233-1436	-	138.881	19.14315933	82.4413	187.966	OK
CUFF.1051	-	-	CUFF.1051	-	-	ENSMUST00000042780	683-1342	-	139.27	19.19677854	60.1984	186.615	OK
CUFF.1561	-	-	CUFF.1561	-	-	ENSMUST00000077960	548-1093	-	139.294	19.20008666	43.6742	196.534	OK
CUFF.2795	-	-	CUFF.2795	-	-	ENSMUST00000161300	354-1154	-	139.602	19.24254094	69.4238	188.436	OK
CUFF.1486	-	-	CUFF.1486	-	-	ENSMUST00000054908	34-1004	-	139.693	19.25508426	77.7056	192.219	OK
CUFF.818	-	-	CUFF.818	-	-	ENSMUST00000005964	47-1101	-	139.89	19.28223845	79.0404	188.191	OK
CUFF.1334	-	-	CUFF.1334	-	-	ENSMUST00000113825	1785-3120	-	140.209	19.32620896	89.1477	184.239	OK
CUFF.2181	-	-	CUFF.2181	-	-	ENSMUST00000027464	28-599	-	140.233	19.32951709	55.5807	201.48	OK
CUFF.1121	-	-	CUFF.1121	-	-	ENSMUST00000049149	6902-7444	-	140.528	19.37017947	43.9159	197.622	OK
CUFF.1835	-	-	CUFF.1835	-	-	ENSMUST00000115460	3162-3816	-	140.814	19.4096013	60.6586	188.042	OK
CUFF.2000	-	-	CUFF.2000	-	-	ENSMUST00000108594	379-892	-	140.877	19.41828513	46.3985	177.861	OK
CUFF.326	-	-	CUFF.326	-	-	ENSMUST00000144942	20-588	-	141.387	19.4885828	55.8743	202.544	OK
CUFF.1952	-	-	CUFF.1952	-	-	ENSMUST00000150258	595-1387	-	141.499	19.50402072	70.125	190.339	OK
CUFF.643	-	-	CUFF.643	-	-	ENSMUST00000165111	2347-3166	-	141.737	19.53682631	72.657	193.752	OK
CUFF.2317	-	-	CUFF.2317	-	-	ENSMUST00000111784	1097-1748	-	141.758	19.53972092	60.9381	188.908	OK
CUFF.1134	-	-	CUFF.1134	-	-	ENSMUST00000060223	122-1079	-	142.103	19.58727522	78.7611	194.83	OK
CUFF.2635	-	-	CUFF.2635	-	-	ENSMUST00000100046	436-1197	-	142.251	19.60767533	67.7687	187.667	OK
CUFF.1752	-	-	CUFF.1752	-	-	ENSMUST00000102973	626-1525	-	142.545	19.64819988	75.017	202.987	OK
CUFF.629	-	-	CUFF.629	-	-	ENSMUST00000170909	25-673	-	142.714	19.67149459	61.2203	189.783	OK
CUFF.1534	-	-	CUFF.1534	-	-	ENSMUST00000166897	34-765	-	142.82	19.68610548	65.123	200.796	OK
CUFF.289	-	-	CUFF.289	-	-	ENSMUST00000002473	418-980	-	143.751	19.8144332	56.4708	204.707	OK
CUFF.862	-	-	CUFF.862	-	-	ENSMUST00000096753	1571-2188	-	143.819	19.82380622	57.8665	192.888	OK
CUFF.772	-	-	CUFF.772	-	-	ENSMUST00000105390	391-870	-	143.861	19.82959544	41.41	198.768	OK
CUFF.917	-	-	CUFF.917	-	-	ENSMUST00000072767	3865-4509	-	144.009	19.84999555	61.6005	190.962	OK
CUFF.603	-	-	CUFF.603	-	-	ENSMUST00000108450	203-1012	-	144.077	19.85936857	73.5551	196.147	OK
CUFF.2539	-	-	CUFF.2539	-	-	ENSMUST00000024829	941-1860	-	144.104	19.86309022	77.7011	189.936	OK
CUFF.1351	-	-	CUFF.1351	-	-	ENSMUST00000004206	4-730	-	144.186	19.87439298	65.5715	202.179	OK
CUFF.961	-	-	CUFF.961	-	-	ENSMUST00000100770	130-1182	-	144.893	19.97184485	82.9616	203.633	OK
CUFF.2298	-	-	CUFF.2298	-	-	ENSMUST00000057580	5-482	-	144.912	19.97446379	41.5836	199.601	OK
CUFF.138	-	-	CUFF.138	-	-	ENSMUST00000031445	1085-2000	-	144.914	19.97473946	78.0408	190.766	OK
CUFF.1211	-	-	CUFF.1211	-	-	ENSMUST00000007708	928-1432	-	145.093	19.99941257	47.2271	181.037	OK
CUFF.1508	-	-	CUFF.1508	-	-	ENSMUST00000043757	1067-2144	-	145.288	20.02629109	84.7193	198.906	OK
CUFF.2364	-	-	CUFF.2364	-	-	ENSMUST00000107766	1296-1936	-	145.328	20.03180463	61.9855	192.155	OK
CUFF.1783	-	-	CUFF.1783	-	-	ENSMUST00000044369	33-1433	-	145.853	20.10416989	93.5096	195.52	OK
CUFF.1633	-	-	CUFF.1633	-	-	ENSMUST00000025025	219-803	-	145.864	20.10568611	54.3435	196.995	OK
CUFF.217	-	-	CUFF.217	-	-	ENSMUST00000140761	16-652	-	146.671	20.21692184	62.3754	193.364	OK
CUFF.1282	-	-	CUFF.1282	-	-	ENSMUST00000170464	991-1518	-	147.039	20.26764644	45.1659	203.247	OK
CUFF.1937	-	-	CUFF.1937	-	-	ENSMUST00000003320	49-576	-	147.039	20.26764644	45.1659	203.247	OK
CUFF.1472	-	-	CUFF.1472	-	-	ENSMUST00000019382	24-873	-	147.439	20.32278187	74.7623	219.614	OK
CUFF.645	-	-	CUFF.645	-	-	ENSMUST00000110725	1352-1824	-	147.608	20.34607659	42.0241	201.716	OK
CUFF.2332	-	-	CUFF.2332	-	-	ENSMUST00000059580	245-716	-	148.159	20.42202564	42.1133	202.144	OK
CUFF.1663	-	-	CUFF.1663	-	-	ENSMUST00000075666	2799-3350	-	148.298	20.44118521	57.5982	208.793	OK
CUFF.2104	-	-	CUFF.2104	-	-	ENSMUST00000111147	33-610	-	148.596	20.4822611	55.0027	199.385	OK
CUFF.1398	-	-	CUFF.1398	-	-	ENSMUST00000122902	650-1120	-	148.714	20.49852605	42.2029	202.574	OK
CUFF.1012	-	-	CUFF.1012	-	-	ENSMUST00000025684	19-1182	-	148.803	20.51079369	88.6878	201.253	OK
CUFF.877	-	-	CUFF.877	-	-	ENSMUST00000032981	515-1358	-	148.822	20.51341262	75.2944	221.177	OK
CUFF.2803	-	-	CUFF.2803	-	-	ENSMUST00000089559	5-927	-	149.022	20.54098033	81.751	202.226	OK
CUFF.2205	-	-	CUFF.2205	-	-	ENSMUST00000127756	634-3437	-	149.542	20.61265639	116.054	182.573	OK
CUFF.2487	-	-	CUFF.2487	-	-	ENSMUST00000002840	0-1262	-	149.877	20.65883232	94.3044	204.326	OK
CUFF.1323	-	-	CUFF.1323	-	-	ENSMUST00000082094	17-801	-	150.279	20.71424343	75.9006	202.402	OK
CUFF.412	-	-	CUFF.412	-	-	ENSMUST00000001806	905-1557	-	150.282	20.71465694	66.9292	206.872	OK
CUFF.831	-	-	CUFF.831	-	-	ENSMUST00000074628	299-766	-	150.406	20.73174892	42.474	203.875	OK
CUFF.1905	-	-	CUFF.1905	-	-	ENSMUST00000060864	1387-1854	-	150.406	20.73174892	42.474	203.875	OK
CUFF.918	-	-	CUFF.918	-	-	ENSMUST00000068045	1741-2733	-	150.886	20.79791144	83.9804	199.953	OK
CUFF.336	-	-	CUFF.336	-	-	ENSMUST00000049091	508-1000	-	151.122	20.83044135	48.3789	185.453	OK
CUFF.571	-	-	CUFF.571	-	-	ENSMUST00000077577	858-1350	-	151.122	20.83044135	48.3789	185.453	OK
CUFF.771	-	-	CUFF.771	-	-	ENSMUST00000105389	242-812	-	151.432	20.8731713	55.6782	201.834	OK
CUFF.1281	-	-	CUFF.1281	-	-	ENSMUST00000023393	7-577	-	151.432	20.8731713	55.6782	201.834	OK
CUFF.808	-	-	CUFF.808	-	-	ENSMUST00000118885	25-490	-	151.555	20.89012545	42.6567	204.752	OK
CUFF.1458	-	-	CUFF.1458	-	-	ENSMUST00000100507	644-1292	-	151.634	20.9010147	67.3423	208.149	OK
CUFF.2254	-	-	CUFF.2254	-	-	ENSMUST00000023882	2335-2956	-	151.938	20.94291762	63.882	198.034	OK
CUFF.634	-	-	CUFF.634	-	-	ENSMUST00000107389	1710-2825	-	152.286	20.99088545	88.9478	202.801	OK
CUFF.1243	-	-	CUFF.1243	-	-	ENSMUST00000038356	612-1232	-	152.302	20.99309087	63.9851	198.354	OK
CUFF.2486	-	-	CUFF.2486	-	-	ENSMUST00000046122	86-1277	-	152.617	21.03651002	93.2645	209.845	OK
CUFF.1379	-	-	CUFF.1379	-	-	ENSMUST00000025890	1274-1997	-	152.651	21.04119653	71.3305	197.531	OK
CUFF.1786	-	-	CUFF.1786	-	-	ENSMUST00000042345	879-1472	-	152.675	21.04450465	60.2085	200.695	OK
CUFF.637	-	-	CUFF.637	-	-	ENSMUST00000007131	2790-3253	-	152.722	21.05098307	42.841	205.637	OK
CUFF.507	-	-	CUFF.507	-	-	ENSMUST00000028162	598-1138	-	153.143	21.10901311	58.7715	213.047	OK
CUFF.1173	-	-	CUFF.1173	-	-	ENSMUST00000148750	720-1285	-	153.525	21.16166744	56.1709	203.62	OK
CUFF.2072	-	-	CUFF.2072	-	-	ENSMUST00000022842	10-729	-	153.835	21.2043974	71.7273	198.63	OK
CUFF.1313	-	-	CUFF.1313	-	-	ENSMUST00000033898	10-574	-	153.951	21.22038668	56.2705	203.981	OK
CUFF.914	-	-	CUFF.914	-	-	ENSMUST00000165665	3903-4544	-	154.058	21.23513541	68.0777	210.422	OK
CUFF.1463	-	-	CUFF.1463	-	-	ENSMUST00000050328	79-1132	-	154.06	21.23541108	90.4176	207.207	OK
CUFF.2715	-	-	CUFF.2715	-	-	ENSMUST00000020317	17-632	-	154.152	21.24809223	64.5053	199.966	OK
CUFF.1568	-	-	CUFF.1568	-	-	ENSMUST00000146377	60-855	-	154.189	21.25319226	74.8504	209.581	OK
CUFF.1238	-	-	CUFF.1238	-	-	ENSMUST00000044158	705-1371	-	154.308	21.26959505	65.5222	208.48	OK
CUFF.1492	-	-	CUFF.1492	-	-	ENSMUST00000133617	34-520	-	154.329	21.27248966	48.9762	187.742	OK
CUFF.2489	-	-	CUFF.2489	-	-	ENSMUST00000045674	12-472	-	154.506	21.29688709	43.1204	206.978	OK
CUFF.300	-	-	CUFF.300	-	-	ENSMUST00000112096	1035-1572	-	154.519	21.29867899	59.0998	214.237	OK
CUFF.952	-	-	CUFF.952	-	-	ENSMUST00000178385	78-666	-	154.659	21.31797639	60.7205	202.402	OK
CUFF.1713	-	-	CUFF.1713	-	-	ENSMUST00000039442	50-637	-	155.062	21.37352534	60.824	202.747	OK
CUFF.411	-	-	CUFF.411	-	-	ENSMUST00000001806	359-818	-	155.111	21.38027943	43.2143	207.429	OK
CUFF.2384	-	-	CUFF.2384	-	-	ENSMUST00000051572	410-1174	-	155.639	21.45305819	77.8876	207.7	OK
CUFF.302	-	-	CUFF.302	-	-	ENSMUST00000139853	516-974	-	155.719	21.46408528	43.3087	207.882	OK
CUFF.1974	-	-	CUFF.1974	-	-	ENSMUST00000111080	4-462	-	155.719	21.46408528	43.3087	207.882	OK
CUFF.1397	-	-	CUFF.1397	-	-	ENSMUST00000043082	1441-2279	-	156.244	21.53645053	80.4776	217.763	OK
CUFF.774	-	-	CUFF.774	-	-	ENSMUST00000034378	276-935	-	156.678	21.59627248	66.2182	210.694	OK
CUFF.2781	-	-	CUFF.2781	-	-	ENSMUST00000031513	0-608	-	156.818	21.61556988	65.2479	202.269	OK
CUFF.730	-	-	CUFF.730	-	-	ENSMUST00000089311	793-1249	-	156.952	21.63404025	43.4986	208.793	OK
CUFF.2734	-	-	CUFF.2734	-	-	ENSMUST00000027921	1382-3000	-	157.028	21.64451598	107.881	201.051	OK
CUFF.2297	-	-	CUFF.2297	-	-	ENSMUST00000103221	3265-3746	-	157.107	21.65540522	49.4853	189.694	OK
CUFF.2650	-	-	CUFF.2650	-	-	ENSMUST00000114303	1-684	-	157.109	21.6556809	69.6997	214.907	OK
CUFF.116	-	-	CUFF.116	-	-	ENSMUST00000060366	426-1083	-	157.369	21.69151893	66.4198	211.336	OK
CUFF.12	-	-	CUFF.12	-	-	ENSMUST00000021772	2-911	-	157.388	21.69413786	87.2843	205.118	OK
CUFF.2191	-	-	CUFF.2191	-	-	ENSMUST00000020022	18-1305	-	157.401	21.69592977	98.6374	209.604	OK
CUFF.2045	-	-	CUFF.2045	-	-	ENSMUST00000101151	1534-1989	-	157.575	21.71991368	43.5942	209.252	OK
CUFF.1302	-	-	CUFF.1302	-	-	ENSMUST00000105455	20-978	-	157.683	21.73480024	86.9609	207.05	OK
CUFF.2107	-	-	CUFF.2107	-	-	ENSMUST00000143188	271-725	-	158.203	21.8064763	43.6902	209.713	OK
CUFF.2168	-	-	CUFF.2168	-	-	ENSMUST00000168665	1-455	-	158.203	21.8064763	43.6902	209.713	OK
CUFF.1826	-	-	CUFF.1826	-	-	ENSMUST00000179939	1114-1717	-	158.779	21.88587132	65.7889	203.946	OK
CUFF.2253	-	-	CUFF.2253	-	-	ENSMUST00000023882	1662-2265	-	158.779	21.88587132	65.7889	203.946	OK
CUFF.635	-	-	CUFF.635	-	-	ENSMUST00000007131	1032-1585	-	158.793	21.88780106	57.3898	208.038	OK
CUFF.2066	-	-	CUFF.2066	-	-	ENSMUST00000003536	18-521	-	158.811	21.89028216	47.321	212.944	OK
CUFF.735	-	-	CUFF.735	-	-	ENSMUST00000057934	759-1237	-	158.823	21.89193622	49.7959	190.884	OK
CUFF.751	-	-	CUFF.751	-	-	ENSMUST00000028852	402-880	-	158.823	21.89193622	49.7959	190.884	OK
CUFF.2091	-	-	CUFF.2091	-	-	ENSMUST00000031331	41-519	-	158.823	21.89193622	49.7959	190.884	OK
CUFF.298	-	-	CUFF.298	-	-	ENSMUST00000112097	1263-1716	-	158.837	21.89386596	43.7867	210.176	OK
CUFF.2158	-	-	CUFF.2158	-	-	ENSMUST00000110416	999-1452	-	158.837	21.89386596	43.7867	210.176	OK
CUFF.1306	-	-	CUFF.1306	-	-	ENSMUST00000099706	41-1117	-	159.091	21.92887696	92.1718	210.152	OK
CUFF.1369	-	-	CUFF.1369	-	-	ENSMUST00000143517	352-1004	-	159.122	21.93314996	66.9292	212.956	OK
CUFF.531	-	-	CUFF.531	-	-	ENSMUST00000037865	2053-2555	-	159.343	21.96361228	47.4152	213.368	OK
CUFF.997	-	-	CUFF.997	-	-	ENSMUST00000020284	434-1160	-	159.364	21.96650689	76.5	207.643	OK
CUFF.804	-	-	CUFF.804	-	-	ENSMUST00000055844	0-601	-	159.577	21.99586651	66.0079	204.624	OK
CUFF.2494	-	-	CUFF.2494	-	-	ENSMUST00000040706	1163-1888	-	159.669	22.00854766	76.6056	207.929	OK
CUFF.937	-	-	CUFF.937	-	-	ENSMUST00000024755	78-753	-	159.773	22.02288287	70.5257	217.454	OK
CUFF.1048	-	-	CUFF.1048	-	-	ENSMUST00000068505	223-997	-	159.862	22.0351505	76.8813	215.268	OK
CUFF.2331	-	-	CUFF.2331	-	-	ENSMUST00000063690	419-895	-	159.987	22.05238032	50.0051	191.686	OK
CUFF.1574	-	-	CUFF.1574	-	-	ENSMUST00000177840	42-741	-	160.041	22.05982361	73.7796	204.313	OK
CUFF.1946	-	-	CUFF.1946	-	-	ENSMUST00000027409	617-1390	-	160.143	22.07388314	76.9807	215.546	OK
CUFF.480	-	-	CUFF.480	-	-	ENSMUST00000103201	6039-6638	-	160.384	22.10710224	66.2283	205.308	OK
