tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length1	length2	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status	TPM
CUFF.9940	-	-	CUFF.9940	-	-	ENSCAFT00000049302	1116-1770	ENSCAFT00000049302:1116-1770	-	2.90287	1.00011	4.50051	OK	0.372512392
CUFF.16634	-	-	CUFF.16634	-	-	ENSCAFT00000044106	5227-6443	ENSCAFT00000044106:5227-6443	-	2.90659	1.70332	4.03417	OK	0.372989763
CUFF.2405	-	-	CUFF.2405	-	-	ENSCAFT00000021936	417-1069	ENSCAFT00000021936:417-1069	-	2.91581	1.00318	4.51431	OK	0.374172925
CUFF.9471	-	-	CUFF.9471	-	-	ENSCAFT00000021501	3488-4065	ENSCAFT00000021501:3488-4065	-	2.91758	0.944647	4.53431	OK	0.374400061
CUFF.12942	-	-	CUFF.12942	-	-	ENSCAFT00000001273	87-1559	ENSCAFT00000001273:87-1559	-	2.92157	1.85143	3.92504	OK	0.37491208
CUFF.15570	-	-	CUFF.15570	-	-	ENSCAFT00000005746	1070-1721	ENSCAFT00000005746:1070-1721	-	2.92232	1.00472	4.52125	OK	0.375008324
CUFF.20035	-	-	CUFF.20035	-	-	ENSCAFT00000019074	1290-2090	ENSCAFT00000019074:1290-2090	-	2.92337	1.36265	4.22423	OK	0.375143066
CUFF.20431	-	-	CUFF.20431	-	-	ENSCAFT00000007697	1112-1798	ENSCAFT00000007697:1112-1798	-	2.93627	1.27128	3.97275	OK	0.376798466
CUFF.13686	-	-	CUFF.13686	-	-	ENSCAFT00000028631	2292-3349	ENSCAFT00000028631:2292-3349	-	2.93717	1.54701	4.22848	OK	0.376913959
CUFF.3208	-	-	CUFF.3208	-	-	ENSCAFT00000048262	484-1206	ENSCAFT00000048262:484-1206	-	2.94264	1.20789	4.37861	OK	0.377615899
CUFF.11291	-	-	CUFF.11291	-	-	ENSCAFT00000025452	142-859	ENSCAFT00000025452:142-859	-	2.97129	1.21632	4.40915	OK	0.381292426
CUFF.9547	-	-	CUFF.9547	-	-	ENSCAFT00000047772	1402-3036	ENSCAFT00000047772:1402-3036	-	2.97173	1.93474	4.0029	OK	0.38134889
CUFF.12400	-	-	CUFF.12400	-	-	ENSCAFT00000044485	909-1880	ENSCAFT00000044485:909-1880	-	2.9822	1.57175	4.26619	OK	0.382692458
CUFF.8154	-	-	CUFF.8154	-	-	ENSCAFT00000020770	542-1257	ENSCAFT00000020770:542-1257	-	2.9829	1.21972	4.42148	OK	0.382782286
CUFF.8220	-	-	CUFF.8220	-	-	ENSCAFT00000047031	367-1154	ENSCAFT00000047031:367-1154	-	2.98848	1.38516	4.29401	OK	0.383498343
CUFF.13121	-	-	CUFF.13121	-	-	ENSCAFT00000048624	1125-2699	ENSCAFT00000048624:1125-2699	-	3.02229	1.93923	4.08623	OK	0.38783703
CUFF.18148	-	-	CUFF.18148	-	-	ENSCAFT00000035282	447-1047	ENSCAFT00000035282:447-1047	-	3.02324	1.09012	4.17881	OK	0.387958939
CUFF.18591	-	-	CUFF.18591	-	-	ENSCAFT00000011995	286-990	ENSCAFT00000011995:286-990	-	3.04844	1.23878	4.49056	OK	0.391192743
CUFF.809	-	-	CUFF.809	-	-	ENSCAFT00000014011	520-1545	ENSCAFT00000014011:520-1545	-	3.05156	1.5953	4.46685	OK	0.391593118
CUFF.12404	-	-	CUFF.12404	-	-	ENSCAFT00000029810	1220-1815	ENSCAFT00000029810:1220-1815	-	3.06183	1.09928	4.21392	OK	0.392911022
CUFF.17627	-	-	CUFF.17627	-	-	ENSCAFT00000043438	4313-4872	ENSCAFT00000043438:4313-4872	-	3.06525	0.975065	4.68031	OK	0.393349895
CUFF.8434	-	-	CUFF.8434	-	-	ENSCAFT00000018941	2761-3710	ENSCAFT00000018941:2761-3710	-	3.07019	1.60819	4.36509	OK	0.393983823
CUFF.19501	-	-	CUFF.19501	-	-	ENSCAFT00000047901	2804-3859	ENSCAFT00000047901:2804-3859	-	3.07207	1.65327	4.13317	OK	0.394225075
CUFF.4105	-	-	CUFF.4105	-	-	ENSCAFT00000014193	921-1691	ENSCAFT00000014193:921-1691	-	3.07814	1.41574	4.38881	OK	0.395004012
CUFF.9755	-	-	CUFF.9755	-	-	ENSCAFT00000045728	1166-1756	ENSCAFT00000045728:1166-1756	-	3.10143	1.1086	4.24963	OK	0.397992714
CUFF.21090	-	-	CUFF.21090	-	-	ENSCAFT00000027566	2837-3594	ENSCAFT00000027566:2837-3594	-	3.15042	1.44006	4.46418	OK	0.404279382
CUFF.20244	-	-	CUFF.20244	-	-	ENSCAFT00000008477	318-1040	ENSCAFT00000008477:318-1040	-	3.15283	1.35888	4.5296	OK	0.404588647
CUFF.12256	-	-	CUFF.12256	-	-	ENSCAFT00000020367	1383-2001	ENSCAFT00000020367:1383-2001	-	3.1549	1.05837	4.76267	OK	0.404854281
CUFF.3970	-	-	CUFF.3970	-	-	ENSCAFT00000007130	97-922	ENSCAFT00000007130:97-922	-	3.15653	1.4535	4.62477	OK	0.405063452
CUFF.7025	-	-	CUFF.7025	-	-	ENSCAFT00000048934	91-743	ENSCAFT00000048934:91-743	-	3.15879	1.33757	4.84871	OK	0.405353467
CUFF.13184	-	-	CUFF.13184	-	-	ENSCAFT00000010790	621-1169	ENSCAFT00000010790:621-1169	-	3.16308	0.994638	4.77426	OK	0.405903984
CUFF.11000	-	-	CUFF.11000	-	-	ENSCAFT00000043258	495-1765	ENSCAFT00000043258:495-1765	-	3.16825	1.8884	4.29182	OK	0.406567427
CUFF.10894	-	-	CUFF.10894	-	-	ENSCAFT00000018192	1-1579	ENSCAFT00000018192:1-1579	-	3.1721	2.07248	4.21404	OK	0.40706148
CUFF.13167	-	-	CUFF.13167	-	-	ENSCAFT00000036494	52-599	ENSCAFT00000036494:52-599	-	3.17229	0.996456	4.78299	OK	0.407085862
CUFF.2778	-	-	CUFF.2778	-	-	ENSCAFT00000012461	926-1610	ENSCAFT00000012461:926-1610	-	3.17529	1.275	4.62187	OK	0.407470839
CUFF.3987	-	-	CUFF.3987	-	-	ENSCAFT00000013251	3464-4319	ENSCAFT00000013251:3464-4319	-	3.1785	1.53	4.71749	OK	0.407882764
CUFF.19949	-	-	CUFF.19949	-	-	ENSCAFT00000012228	768-1314	ENSCAFT00000012228:768-1314	-	3.18154	0.998281	4.79175	OK	0.408272874
CUFF.9362	-	-	CUFF.9362	-	-	ENSCAFT00000025180	1360-2077	ENSCAFT00000025180:1360-2077	-	3.18352	1.36836	4.56118	OK	0.408526958
CUFF.18573	-	-	CUFF.18573	-	-	ENSCAFT00000012711	461-1415	ENSCAFT00000012711:461-1415	-	3.19497	1.71403	4.57075	OK	0.409996286
CUFF.3628	-	-	CUFF.3628	-	-	ENSCAFT00000013987	278-855	ENSCAFT00000013987:278-855	-	3.20934	1.13358	4.34538	OK	0.411840324
CUFF.9163	-	-	CUFF.9163	-	-	ENSCAFT00000010745	853-1430	ENSCAFT00000010745:853-1430	-	3.20934	1.13358	4.34538	OK	0.411840324
CUFF.16641	-	-	CUFF.16641	-	-	ENSCAFT00000008423	3736-4719	ENSCAFT00000008423:3736-4719	-	3.21595	1.66346	4.6577	OK	0.412688556
CUFF.7871	-	-	CUFF.7871	-	-	ENSCAFT00000049153	1325-1867	ENSCAFT00000049153:1325-1867	-	3.21912	1.00565	4.82711	OK	0.413095348
CUFF.15444	-	-	CUFF.15444	-	-	ENSCAFT00000005304	4743-5454	ENSCAFT00000005304:4743-5454	-	3.22115	1.3799	4.59968	OK	0.413355849
CUFF.10284	-	-	CUFF.10284	-	-	ENSCAFT00000043365	859-1635	ENSCAFT00000043365:859-1635	-	3.23626	1.54528	4.77631	OK	0.415294848
CUFF.9793	-	-	CUFF.9793	-	-	ENSCAFT00000024623	16-825	ENSCAFT00000024623:16-825	-	3.23992	1.48224	4.71623	OK	0.415764519
CUFF.342	-	-	CUFF.342	-	-	ENSCAFT00000036159	237-808	ENSCAFT00000036159:237-808	-	3.26171	1.14549	4.39104	OK	0.418560733
CUFF.14352	-	-	CUFF.14352	-	-	ENSCAFT00000021398	127-831	ENSCAFT00000021398:127-831	-	3.26619	1.39362	4.64541	OK	0.419135631
CUFF.19875	-	-	CUFF.19875	-	-	ENSCAFT00000018779	5251-5788	ENSCAFT00000018779:5251-5788	-	3.26737	1.01501	4.87206	OK	0.419287056
CUFF.18793	-	-	CUFF.18793	-	-	ENSCAFT00000045150	533-1236	ENSCAFT00000045150:533-1236	-	3.27273	1.39561	4.65202	OK	0.419974881
CUFF.7694	-	-	CUFF.7694	-	-	ENSCAFT00000022402	2713-3315	ENSCAFT00000022402:2713-3315	-	3.28153	1.0865	4.88926	OK	0.421104145
CUFF.19524	-	-	CUFF.19524	-	-	ENSCAFT00000047396	1481-2149	ENSCAFT00000047396:1481-2149	-	3.28464	1.30554	4.73257	OK	0.421503238
CUFF.14334	-	-	CUFF.14334	-	-	ENSCAFT00000027429	868-1502	ENSCAFT00000027429:868-1502	-	3.29083	1.37555	4.98637	OK	0.422297573
CUFF.16898	-	-	CUFF.16898	-	-	ENSCAFT00000032279	499-1166	ENSCAFT00000032279:499-1166	-	3.29172	1.30749	4.73967	OK	0.422411783
CUFF.13077	-	-	CUFF.13077	-	-	ENSCAFT00000049267	814-1613	ENSCAFT00000049267:814-1613	-	3.29431	1.5008	4.77526	OK	0.422744146
CUFF.18913	-	-	CUFF.18913	-	-	ENSCAFT00000032006	1490-2156	ENSCAFT00000032006:1490-2156	-	3.29884	1.30946	4.74678	OK	0.423325461
CUFF.21027	-	-	CUFF.21027	-	-	ENSCAFT00000007749	844-1510	ENSCAFT00000007749:844-1510	-	3.29884	1.30946	4.74678	OK	0.423325461
CUFF.21457	-	-	CUFF.21457	-	-	ENSCAFT00000017736	320-1117	ENSCAFT00000017736:320-1117	-	3.30541	1.50456	4.78724	OK	0.42416856
CUFF.3915	-	-	CUFF.3915	-	-	ENSCAFT00000019791	2-535	ENSCAFT00000019791:2-535	-	3.30701	1.02263	4.90862	OK	0.42437388
CUFF.8791	-	-	CUFF.8791	-	-	ENSCAFT00000043176	61-1943	ENSCAFT00000043176:61-1943	-	3.31198	2.25902	4.34427	OK	0.425011658
CUFF.19718	-	-	CUFF.19718	-	-	ENSCAFT00000048387	61-725	ENSCAFT00000048387:61-725	-	3.31316	1.3134	4.76108	OK	0.425163083
CUFF.4731	-	-	CUFF.4731	-	-	ENSCAFT00000031745	5413-6076	ENSCAFT00000031745:5413-6076	-	3.32037	1.31538	4.76826	OK	0.42608831
CUFF.8701	-	-	CUFF.8701	-	-	ENSCAFT00000005013	689-1352	ENSCAFT00000005013:689-1352	-	3.32037	1.31538	4.76826	OK	0.42608831
CUFF.9398	-	-	CUFF.9398	-	-	ENSCAFT00000010309	2242-3165	ENSCAFT00000010309:2242-3165	-	3.3326	1.7716	4.72426	OK	0.427657731
CUFF.6197	-	-	CUFF.6197	-	-	ENSCAFT00000016404	1837-2400	ENSCAFT00000016404:1837-2400	-	3.33427	1.16177	4.45343	OK	0.427872035
CUFF.14083	-	-	CUFF.14083	-	-	ENSCAFT00000049187	4-730	ENSCAFT00000049187:4-730	-	3.33728	1.50155	4.6548	OK	0.428258295
CUFF.4488	-	-	CUFF.4488	-	-	ENSCAFT00000043643	1028-1623	ENSCAFT00000043643:1028-1623	-	3.34018	1.09928	4.94678	OK	0.428630439
CUFF.15281	-	-	CUFF.15281	-	-	ENSCAFT00000012365	134-761	ENSCAFT00000012365:134-761	-	3.3452	1.39091	5.04204	OK	0.429274633
CUFF.12878	-	-	CUFF.12878	-	-	ENSCAFT00000027181	2548-3240	ENSCAFT00000027181:2548-3240	-	3.3464	1.41779	4.72597	OK	0.429428624
CUFF.12129	-	-	CUFF.12129	-	-	ENSCAFT00000030285	1665-2324	ENSCAFT00000030285:1665-2324	-	3.34952	1.32337	4.7972	OK	0.429829
CUFF.1559	-	-	CUFF.1559	-	-	ENSCAFT00000013323	2358-3537	ENSCAFT00000013323:2358-3537	-	3.35203	1.9417	4.62308	OK	0.430151097
CUFF.7376	-	-	CUFF.7376	-	-	ENSCAFT00000027740	1447-2105	ENSCAFT00000027740:1447-2105	-	3.35688	1.32538	4.80449	OK	0.430773476
CUFF.4910	-	-	CUFF.4910	-	-	ENSCAFT00000002411	659-1414	ENSCAFT00000002411:659-1414	-	3.35946	1.58826	4.90916	OK	0.431104556
CUFF.17991	-	-	CUFF.17991	-	-	ENSCAFT00000014549	753-1345	ENSCAFT00000014549:753-1345	-	3.36597	1.10485	4.97185	OK	0.431939955
CUFF.12270	-	-	CUFF.12270	-	-	ENSCAFT00000010643	7220-7909	ENSCAFT00000010643:7220-7909	-	3.36707	1.42396	4.74655	OK	0.432081113
CUFF.8266	-	-	CUFF.8266	-	-	ENSCAFT00000046245	1945-3377	ENSCAFT00000046245:1945-3377	-	3.37159	2.13153	4.56756	OK	0.432661145
CUFF.13196	-	-	CUFF.13196	-	-	ENSCAFT00000010799	1048-1801	ENSCAFT00000010799:1048-1801	-	3.37168	1.59248	4.9222	OK	0.432672694
CUFF.15063	-	-	CUFF.15063	-	-	ENSCAFT00000048651	1459-2082	ENSCAFT00000048651:1459-2082	-	3.37709	1.39984	5.07441	OK	0.433366935
CUFF.10291	-	-	CUFF.10291	-	-	ENSCAFT00000046088	2611-3329	ENSCAFT00000046088:2611-3329	-	3.38916	1.51828	4.70666	OK	0.434915824
CUFF.15061	-	-	CUFF.15061	-	-	ENSCAFT00000048651	27-777	ENSCAFT00000048651:27-777	-	3.39018	1.59885	4.94189	OK	0.435046717
CUFF.17617	-	-	CUFF.17617	-	-	ENSCAFT00000024042	1052-1609	ENSCAFT00000024042:1052-1609	-	3.39084	1.17428	4.50141	OK	0.435131411
CUFF.17124	-	-	CUFF.17124	-	-	ENSCAFT00000002479	1368-2375	ENSCAFT00000002479:1368-2375	-	3.39121	1.84033	4.87145	OK	0.435178892
CUFF.7805	-	-	CUFF.7805	-	-	ENSCAFT00000023934	16-1055	ENSCAFT00000023934:16-1055	-	3.3918	1.88857	4.6165	OK	0.435254604
CUFF.11607	-	-	CUFF.11607	-	-	ENSCAFT00000015561	2714-4170	ENSCAFT00000015561:2714-4170	-	3.39402	2.17126	4.49227	OK	0.435539487
CUFF.21016	-	-	CUFF.21016	-	-	ENSCAFT00000039013	47-764	ENSCAFT00000039013:47-764	-	3.39576	1.52039	4.71322	OK	0.435762773
CUFF.1356	-	-	CUFF.1356	-	-	ENSCAFT00000024280	750-1370	ENSCAFT00000024280:750-1370	-	3.4014	1.40661	5.09896	OK	0.436486529
CUFF.14861	-	-	CUFF.14861	-	-	ENSCAFT00000018445	387-1231	ENSCAFT00000018445:387-1231	-	3.40323	1.6791	4.64981	OK	0.436721365
CUFF.3458	-	-	CUFF.3458	-	-	ENSCAFT00000044768	1601-2604	ENSCAFT00000044768:1601-2604	-	3.40817	1.84767	4.89088	OK	0.437355293
CUFF.8405	-	-	CUFF.8405	-	-	ENSCAFT00000046324	63-586	ENSCAFT00000046324:63-586	-	3.41047	1.04218	5.00248	OK	0.437650442
CUFF.15793	-	-	CUFF.15793	-	-	ENSCAFT00000043400	2454-3104	ENSCAFT00000043400:2454-3104	-	3.41701	1.34169	4.86363	OK	0.438489691
CUFF.21486	-	-	CUFF.21486	-	-	ENSCAFT00000042928	2210-2764	ENSCAFT00000042928:2210-2764	-	3.41985	1.18064	4.52578	OK	0.438854136
CUFF.8588	-	-	CUFF.8588	-	-	ENSCAFT00000044275	8-785	ENSCAFT00000044275:8-785	-	3.42065	1.54329	4.91046	OK	0.438956796
CUFF.2317	-	-	CUFF.2317	-	-	ENSCAFT00000013872	15700-16508	ENSCAFT00000013872:15700-16508	-	3.42557	1.61899	4.9919	OK	0.439588158
CUFF.12292	-	-	CUFF.12292	-	-	ENSCAFT00000021964	19-1527	ENSCAFT00000021964:19-1527	-	3.42585	2.24097	4.62652	OK	0.439624089
CUFF.9585	-	-	CUFF.9585	-	-	ENSCAFT00000043169	1583-2868	ENSCAFT00000043169:1583-2868	-	3.42667	2.12086	4.6659	OK	0.439729316
CUFF.12036	-	-	CUFF.12036	-	-	ENSCAFT00000047394	8351-9031	ENSCAFT00000047394:8351-9031	-	3.43065	1.44281	4.80937	OK	0.440240052
CUFF.16606	-	-	CUFF.16606	-	-	ENSCAFT00000005687	1009-1625	ENSCAFT00000005687:1009-1625	-	3.43438	1.41574	5.13207	OK	0.440718706
CUFF.11853	-	-	CUFF.11853	-	-	ENSCAFT00000037391	0-584	ENSCAFT00000037391:0-584	-	3.43671	1.11999	5.03995	OK	0.441017704
CUFF.18583	-	-	CUFF.18583	-	-	ENSCAFT00000013692	115-667	ENSCAFT00000013692:115-667	-	3.43947	1.18492	4.54218	OK	0.441371883
CUFF.2893	-	-	CUFF.2893	-	-	ENSCAFT00000020582	6096-7123	ENSCAFT00000020582:6096-7123	-	3.44121	1.91063	4.67044	OK	0.441595169
CUFF.8222	-	-	CUFF.8222	-	-	ENSCAFT00000030921	2-1152	ENSCAFT00000030921:2-1152	-	3.45471	1.99066	4.73967	OK	0.443327564
CUFF.21440	-	-	CUFF.21440	-	-	ENSCAFT00000037445	3362-4448	ENSCAFT00000037445:3362-4448	-	3.4582	2.00759	4.71784	OK	0.443775421
CUFF.15554	-	-	CUFF.15554	-	-	ENSCAFT00000006986	336-1264	ENSCAFT00000006986:336-1264	-	3.46004	1.76205	4.93375	OK	0.44401154
CUFF.16029	-	-	CUFF.16029	-	-	ENSCAFT00000043121	1910-2554	ENSCAFT00000043121:1910-2554	-	3.46354	1.35419	4.90894	OK	0.444460679
CUFF.11416	-	-	CUFF.11416	-	-	ENSCAFT00000015562	2286-3307	ENSCAFT00000015562:2286-3307	-	3.46647	1.92186	4.69789	OK	0.444836673
CUFF.13603	-	-	CUFF.13603	-	-	ENSCAFT00000036124	100-932	ENSCAFT00000036124:100-932	-	3.4682	1.70332	4.71688	OK	0.445058676
CUFF.20410	-	-	CUFF.20410	-	-	ENSCAFT00000047302	5039-5839	ENSCAFT00000047302:5039-5839	-	3.4715	1.63518	5.04182	OK	0.44548215
CUFF.13534	-	-	CUFF.13534	-	-	ENSCAFT00000046051	322-1279	ENSCAFT00000046051:322-1279	-	3.47155	1.82257	4.55642	OK	0.445488567
CUFF.16031	-	-	CUFF.16031	-	-	ENSCAFT00000012467	627-1709	ENSCAFT00000012467:627-1709	-	3.47394	2.01502	4.73529	OK	0.445795265
CUFF.12266	-	-	CUFF.12266	-	-	ENSCAFT00000010630	2138-2655	ENSCAFT00000010630:2138-2655	-	3.47572	1.05428	5.06053	OK	0.446023684
CUFF.3118	-	-	CUFF.3118	-	-	ENSCAFT00000018827	5572-6559	ENSCAFT00000018827:5572-6559	-	3.47776	1.87762	4.97017	OK	0.446285468
CUFF.5676	-	-	CUFF.5676	-	-	ENSCAFT00000030863	1496-2075	ENSCAFT00000030863:1496-2075	-	3.48245	1.12966	5.08348	OK	0.446887315
CUFF.14735	-	-	CUFF.14735	-	-	ENSCAFT00000029578	2067-2614	ENSCAFT00000029578:2067-2614	-	3.48951	1.19575	4.5837	OK	0.447793294
CUFF.3906	-	-	CUFF.3906	-	-	ENSCAFT00000021789	655-1545	ENSCAFT00000021789:655-1545	-	3.49276	1.83729	4.89943	OK	0.448210352
CUFF.4212	-	-	CUFF.4212	-	-	ENSCAFT00000043872	1226-1835	ENSCAFT00000043872:1226-1835	-	3.49364	1.43202	5.19106	OK	0.448323278
CUFF.20612	-	-	CUFF.20612	-	-	ENSCAFT00000027161	1021-1598	ENSCAFT00000027161:1021-1598	-	3.50109	1.13358	5.1011	OK	0.449279303
CUFF.8378	-	-	CUFF.8378	-	-	ENSCAFT00000028042	1019-1813	ENSCAFT00000028042:1019-1813	-	3.50676	1.64754	5.07992	OK	0.450006909
CUFF.12037	-	-	CUFF.12037	-	-	ENSCAFT00000047394	7426-8251	ENSCAFT00000047394:7426-8251	-	3.50725	1.71777	4.7569	OK	0.450069789
CUFF.1898	-	-	CUFF.1898	-	-	ENSCAFT00000017117	344-1231	ENSCAFT00000017117:344-1231	-	3.50809	1.8435	4.916	OK	0.450177582
CUFF.14486	-	-	CUFF.14486	-	-	ENSCAFT00000020277	869-1849	ENSCAFT00000020277:869-1849	-	3.5091	1.89103	5.1169	OK	0.450307191
CUFF.17940	-	-	CUFF.17940	-	-	ENSCAFT00000044380	4974-5643	ENSCAFT00000044380:4974-5643	-	3.5117	1.46653	4.88844	OK	0.450640837
CUFF.16049	-	-	CUFF.16049	-	-	ENSCAFT00000047545	6-737	ENSCAFT00000047545:6-737	-	3.51226	1.6404	5.07034	OK	0.4507127
CUFF.21633	-	-	CUFF.21633	-	-	ENSCAFT00000002393	2-795	ENSCAFT00000002393:2-795	-	3.51271	1.64962	5.08633	OK	0.450770446
CUFF.8552	-	-	CUFF.8552	-	-	ENSCAFT00000013700	1087-1973	ENSCAFT00000013700:1087-1973	-	3.51323	1.84558	4.92155	OK	0.450837176
CUFF.16325	-	-	CUFF.16325	-	-	ENSCAFT00000026435	1625-2727	ENSCAFT00000026435:1625-2727	-	3.51794	2.07737	4.94611	OK	0.451441589
CUFF.21106	-	-	CUFF.21106	-	-	ENSCAFT00000032156	1636-2242	ENSCAFT00000032156:1636-2242	-	3.51967	1.43911	5.21676	OK	0.451663592
CUFF.14982	-	-	CUFF.14982	-	-	ENSCAFT00000027063	625-1478	ENSCAFT00000027063:625-1478	-	3.52389	1.78918	4.85635	OK	0.452205126
CUFF.10334	-	-	CUFF.10334	-	-	ENSCAFT00000025505	333-1093	ENSCAFT00000025505:333-1093	-	3.52512	1.57781	5.0203	OK	0.452362966
CUFF.18960	-	-	CUFF.18960	-	-	ENSCAFT00000014634	264-962	ENSCAFT00000014634:264-962	-	3.5262	1.56178	4.84152	OK	0.452501558
CUFF.19672	-	-	CUFF.19672	-	-	ENSCAFT00000043875	11-770	ENSCAFT00000043875:11-770	-	3.53146	1.57989	5.02692	OK	0.45317655
CUFF.20760	-	-	CUFF.20760	-	-	ENSCAFT00000002195	476-1142	ENSCAFT00000002195:476-1142	-	3.53447	1.47314	4.91046	OK	0.45356281
CUFF.2969	-	-	CUFF.2969	-	-	ENSCAFT00000027835	3511-4362	ENSCAFT00000027835:3511-4362	-	3.53477	1.79339	4.86777	OK	0.453601308
CUFF.9674	-	-	CUFF.9674	-	-	ENSCAFT00000029260	204-808	ENSCAFT00000029260:204-808	-	3.53724	1.44387	5.23404	OK	0.453918272
CUFF.13861	-	-	CUFF.13861	-	-	ENSCAFT00000049226	1004-2624	ENSCAFT00000049226:1004-2624	-	3.53976	2.3552	4.71041	OK	0.454241652
CUFF.20636	-	-	CUFF.20636	-	-	ENSCAFT00000024838	2893-3866	ENSCAFT00000024838:2893-3866	-	3.54102	1.90463	5.15372	OK	0.454403343
CUFF.15624	-	-	CUFF.15624	-	-	ENSCAFT00000016293	693-1235	ENSCAFT00000016293:693-1235	-	3.54104	1.20678	4.62598	OK	0.454405909
CUFF.12745	-	-	CUFF.12745	-	-	ENSCAFT00000000423	4641-5460	ENSCAFT00000000423:4641-5460	-	3.54143	1.73035	4.79175	OK	0.454455956
CUFF.2891	-	-	CUFF.2891	-	-	ENSCAFT00000020582	4221-4824	ENSCAFT00000020582:4221-4824	-	3.54609	1.44627	5.24272	OK	0.455053953
CUFF.4237	-	-	CUFF.4237	-	-	ENSCAFT00000000033	1470-2042	ENSCAFT00000000033:1470-2042	-	3.54858	1.14349	5.14569	OK	0.455373484
CUFF.21674	-	-	CUFF.21674	-	-	ENSCAFT00000024244	2030-2571	ENSCAFT00000024244:2030-2571	-	3.55152	1.20901	4.63453	OK	0.455750761
CUFF.14487	-	-	CUFF.14487	-	-	ENSCAFT00000020277	1919-2797	ENSCAFT00000020277:1919-2797	-	3.55489	1.8624	4.96639	OK	0.456183218
CUFF.8759	-	-	CUFF.8759	-	-	ENSCAFT00000020730	2091-2877	ENSCAFT00000020730:2091-2877	-	3.55491	1.66431	5.13162	OK	0.456185785
CUFF.5331	-	-	CUFF.5331	-	-	ENSCAFT00000019781	468-978	ENSCAFT00000019781:468-978	-	3.55506	1.06875	5.12999	OK	0.456205033
CUFF.6816	-	-	CUFF.6816	-	-	ENSCAFT00000009231	1668-2423	ENSCAFT00000009231:1668-2423	-	3.55707	1.58826	5.05355	OK	0.456462968
CUFF.11844	-	-	CUFF.11844	-	-	ENSCAFT00000049385	4420-5175	ENSCAFT00000049385:4420-5175	-	3.55707	1.58826	5.05355	OK	0.456462968
CUFF.20661	-	-	CUFF.20661	-	-	ENSCAFT00000026895	2829-3584	ENSCAFT00000026895:2829-3584	-	3.55707	1.58826	5.05355	OK	0.456462968
CUFF.15852	-	-	CUFF.15852	-	-	ENSCAFT00000019125	6169-7046	ENSCAFT00000019125:6169-7046	-	3.56017	1.86452	4.97206	OK	0.456860777
CUFF.10076	-	-	CUFF.10076	-	-	ENSCAFT00000032467	9-641	ENSCAFT00000032467:9-641	-	3.5605	1.3799	5.00215	OK	0.456903124
